epoch, loss
0,0.5211591124534607
10,0.32629042863845825
20,0.03224040940403938
30,0.24039046466350555
40,0.07835614681243896
50,0.3405492305755615
60,0.4373151659965515
70,0.07426242530345917
80,0.19080840051174164
90,0.04065355658531189
100,0.6195496320724487
110,0.16001270711421967
120,0.30707845091819763
130,0.045796338468790054
140,0.041259270161390305
150,0.12287679314613342
160,0.6981072425842285
170,0.6404907703399658
180,0.2714260518550873
190,0.41506701707839966
200,0.4431854784488678
210,0.5402024388313293
220,0.19414068758487701
230,0.3873974084854126
240,0.38614025712013245
250,0.36848604679107666
260,0.7966168522834778
270,0.2658061981201172
280,0.23780792951583862
290,0.14713524281978607
300,0.10075303912162781
310,0.14567799866199493
320,0.2733628749847412
330,0.20413000881671906
340,0.08805402368307114
350,0.36959099769592285
360,0.3525710701942444
370,0.6724315881729126
380,0.3742532432079315
390,0.006476883310824633
400,0.08286525309085846
410,0.031895581632852554
420,0.13962453603744507
430,0.16516214609146118
440,0.05531376227736473
450,0.08663204312324524
460,0.044752996414899826
470,0.0011041739489883184
480,0.05908960476517677
490,0.06896656006574631
500,0.06606234610080719
510,0.029758188873529434
520,0.0002701845660340041
530,0.007052954751998186
540,0.00013568838767241687
550,0.00688871368765831
560,0.005566162057220936
570,0.002845367416739464
580,0.00022349291248247027
590,0.001756372512318194
600,0.000411500979680568
610,9.900095756165683e-05
620,0.00026516441721469164
630,0.00026425672695040703
640,4.678280674852431e-06
650,9.238527127308771e-05
660,0.000109636559500359
670,2.3337564925896004e-05
680,3.4203873156002373e-07
690,4.498015186982229e-06
700,5.07845982156141e-07
710,5.24578581462265e-06
720,3.4583536034915596e-10
730,1.1120237104478292e-06
740,2.5364897737745196e-08
750,1.3821340871800203e-06
760,1.0145959095098078e-07
770,6.081928063395026e-07
780,6.73249019200739e-07
790,1.2316741049289703e-07
800,1.8396809764453792e-07
810,2.9590538019874657e-08
820,3.498917635624821e-07
830,3.218794120130042e-08
840,1.8695928361012193e-08
850,8.356870750958478e-10
860,2.2228654472655762e-09
870,4.5204160414868966e-09
880,2.689048983484099e-09
890,9.004224921227433e-09
900,9.323741778644035e-11
910,1.7195134205394424e-10
920,1.1510792319313623e-10
930,1.2662191295476077e-09
940,2.4016344468691386e-10
950,2.0520474208751693e-11
960,7.993605777301127e-11
970,2.0520474208751693e-11
980,5.640288236463675e-11
990,2.6275870368408505e-11
1000,2.8776980798284058e-11
